x,Gene
1,A2M
2,A4GALT
3,AADAT
4,AAED1
5,AAK1
6,AAMDC
7,AARS
8,AASS
9,AATF
10,AB019440.50
11,ABAT
12,ABC12-49244600F4.4
13,ABCA5
14,ABCC4
15,ABCD3
16,ABCE1
17,ABCF1
18,ABHD11
19,ABHD12
20,ABHD14A
21,ABHD15
22,ABHD17A
23,ABHD17B
24,ABHD17C
25,ABHD2
26,ABHD8
27,ABI1
28,ABI2
29,ABI3BP
30,ABL1
31,ABRA
32,ABRACL
33,AC000124.1
34,AC001226.7
35,AC002064.5
36,AC002115.5
37,AC002127.4
38,AC002310.13
39,AC002331.1
40,AC002365.5
41,AC002386.1
42,AC002398.9
43,AC002511.2
44,AC002511.3
45,AC002985.3
46,AC003002.4
47,AC003005.2
48,AC003005.4
49,AC003006.7
50,AC003084.2
51,AC003090.1
52,AC003092.2
53,AC003101.1
54,AC003664.1
55,AC003682.16
56,AC003985.1
57,AC003988.1
58,AC004012.1
59,AC004051.2
60,AC004063.1
61,AC004076.7
62,AC004076.9
63,AC004156.3
64,AC004221.2
65,AC004448.2
66,AC004449.6
67,AC004471.10
68,AC004510.3
69,AC004535.2
70,AC004540.5
71,AC004543.2
72,AC004775.5
73,AC004791.2
74,AC004840.8
75,AC004869.2
76,AC004869.3
77,AC004895.4
78,AC004901.1
79,AC004947.2
80,AC004951.6
81,AC005013.5
82,AC005019.3
83,AC005042.5
84,AC005082.12
85,AC005150.1
86,AC005224.2
87,AC005256.1
88,AC005301.8
89,AC005307.1
90,AC005324.7
91,AC005330.2
92,AC005355.1
93,AC005355.2
94,AC005363.11
95,AC005394.1
96,AC005477.1
97,AC005480.1
98,AC005487.2
99,AC005498.4
100,AC005523.3
101,AC005546.2
102,AC005550.5
103,AC005592.3
104,AC005606.14
105,AC005616.1
106,AC005618.6
107,AC005624.2
108,AC005703.2
109,AC005703.3
110,AC005754.8
111,AC005757.7
112,AC005772.2
113,AC005779.2
114,AC005780.1
115,AC005808.3
116,AC006007.1
117,AC006037.2
118,AC006041.1
119,AC006076.1
120,AC006116.21
121,AC006126.4
122,AC006129.1
123,AC006196.1
124,AC006227.1
125,AC006262.4
126,AC006262.5
127,AC006273.4
128,AC006273.5
129,AC006296.2
130,AC006369.3
131,AC006372.4
132,AC006372.5
133,AC006373.1
134,AC006449.2
135,AC006482.1
136,AC006486.9
137,AC006538.4
138,AC006552.1
139,AC006946.15
140,AC006946.16
141,AC006946.17
142,AC006994.3
143,AC007036.6
144,AC007040.11
145,AC007126.1
146,AC007131.1
147,AC007161.5
148,AC007163.3
149,AC007179.1
150,AC007193.6
151,AC007204.2
152,AC007228.5
153,AC007228.9
154,AC007250.4
155,AC007349.5
156,AC007365.3
157,AC007381.2
158,AC007381.3
159,AC007383.3
160,AC007389.3
161,AC007391.2
162,AC007392.3
163,AC007392.4
164,AC007403.1
165,AC007405.6
166,AC007557.1
167,AC007557.3
168,AC007563.3
169,AC007631.1
170,AC007680.2
171,AC007795.1
172,AC007879.1
173,AC007879.2
174,AC007879.3
175,AC007879.4
176,AC007879.6
177,AC007906.1
178,AC007948.1
179,AC007950.2
180,AC008060.7
181,AC008060.8
182,AC008063.3
183,AC008069.1
184,AC008074.1
185,AC008074.4
186,AC008088.4
187,AC008132.15
188,AC008154.5
189,AC008268.1
190,AC008269.2
191,AC008281.1
192,AC008592.7
193,AC008691.1
194,AC008746.12
195,AC008753.4
196,AC008834.1
197,AC008991.1
198,AC008992.1
199,AC009014.3
200,AC009120.11
201,AC009120.5
202,AC009133.22
203,AC009229.5
204,AC009236.2
205,AC009262.2
206,AC009299.3
207,AC009411.1
208,AC009411.2
209,AC009478.1
210,AC009495.2
211,AC009495.3
212,AC009495.4
213,AC009498.1
214,AC009505.4
215,AC009508.1
216,AC009961.3
217,AC010084.1
218,AC010096.1
219,AC010096.2
220,AC010145.4
221,AC010287.1
222,AC010641.1
223,AC010646.3
224,AC010729.2
225,AC010729.3
226,AC010744.1
227,AC010745.1
228,AC010745.2
229,AC010745.3
230,AC010880.1
231,AC010894.3
232,AC010967.3
233,AC010971.1
234,AC010983.1
235,AC010987.6
236,AC011155.1
237,AC011193.1
238,AC011196.3
239,AC011286.1
240,AC011288.2
241,AC011306.1
242,AC011343.1
243,AC011366.3
244,AC011513.3
245,AC011516.1
246,AC011516.2
247,AC011524.2
248,AC011524.3
249,AC011525.2
250,AC011525.4
251,AC011530.4
252,AC011752.1
253,AC011901.2
254,AC011995.1
255,AC011995.3
256,AC012005.3
257,AC012005.4
258,AC012065.4
259,AC012074.2
260,AC012075.2
261,AC012307.2
262,AC012314.20
263,AC012360.4
264,AC012361.1
265,AC012368.1
266,AC012445.1
267,AC012451.1
268,AC012462.2
269,AC012462.3
270,AC012506.2
271,AC012506.3
272,AC012531.25
273,AC012593.1
274,AC012668.1
275,AC012668.3
276,AC013248.2
277,AC013401.1
278,AC013401.2
279,AC013402.3
280,AC013402.4
281,AC013448.1
282,AC013733.4
283,AC015688.3
284,AC015849.12
285,AC015922.6
286,AC016549.1
287,AC016682.1
288,AC016700.2
289,AC016700.5
290,AC016710.1
291,AC016722.3
292,AC016730.1
293,AC016751.2
294,AC016831.7
295,AC016903.2
296,AC016912.3
297,AC017002.2
298,AC017048.1
299,AC017048.2
300,AC017074.2
301,AC018495.3
302,AC018685.1
303,AC018685.2
304,AC018742.1
305,AC018755.17
306,AC018866.1
307,AC018890.4
308,AC019064.1
309,AC019117.1
310,AC019117.2
311,AC019118.3
312,AC019118.4
313,AC019172.2
314,AC019186.1
315,AC020595.1
316,AC020743.3
317,AC020743.4
318,AC020956.3
319,AC021218.2
320,AC022182.3
321,AC022431.2
322,AC023115.4
323,AC023128.1
324,AC023347.1
325,AC023469.1
326,AC023481.1
327,AC024028.1
328,AC024084.1
329,AC024592.12
330,AC025016.1
331,AC025048.1
332,AC025263.3
333,AC025811.3
334,AC026167.1
335,AC027119.1
336,AC037459.4
337,AC055733.1
338,AC058791.1
339,AC062020.2
340,AC062021.1
341,AC062032.1
342,AC063976.3
343,AC063980.3
344,AC064834.1
345,AC064834.2
346,AC067959.1
347,AC067961.1
348,AC068057.1
349,AC068134.6
350,AC068138.1
351,AC068196.1
352,AC068282.3
353,AC068492.1
354,AC068533.7
355,AC068535.3
356,AC068538.4
357,AC068580.7
358,AC068831.16
359,AC068858.1
360,AC069063.2
361,AC069368.3
362,AC069513.4
363,AC069547.1
364,AC073046.25
365,AC073094.4
366,AC073107.1
367,AC073115.6
368,AC073133.1
369,AC073257.2
370,AC073284.4
371,AC073316.2
372,AC073321.4
373,AC073409.1
374,AC073610.5
375,AC073628.1
376,AC073987.1
377,AC074019.1
378,AC074183.4
379,AC074363.1
380,AC074389.5
381,AC074389.7
382,AC078842.3
383,AC078842.4
384,AC078851.1
385,AC079163.1
386,AC079466.1
387,AC079584.2
388,AC079610.2
389,AC079612.2
390,AC079630.2
391,AC079767.4
392,AC079779.5
393,AC079779.6
394,AC079896.1
395,AC079988.3
396,AC083843.1
397,AC083843.2
398,AC083864.4
399,AC083867.4
400,AC084082.3
401,AC084149.2
402,AC084193.1
403,AC084809.3
404,AC087073.1
405,AC087430.1
406,AC087491.2
407,AC087499.10
408,AC087762.1
409,AC090044.2
410,AC090505.4
411,AC090505.6
412,AC091199.1
413,AC091493.2
414,AC091705.1
415,AC091770.3
416,AC091962.3
417,AC092159.1
418,AC092171.4
419,AC092198.1
420,AC092431.3
421,AC092484.1
422,AC092570.2
423,AC092580.4
424,AC092614.2
425,AC092625.1
426,AC092635.1
427,AC092657.2
428,AC092660.1
429,AC092669.3
430,AC092669.6
431,AC092684.1
432,AC092687.4
433,AC092881.1
434,AC093063.3
435,AC093159.1
436,AC093323.1
437,AC093323.3
438,AC093326.1
439,AC093326.2
440,AC093326.3
441,AC093375.1
442,AC093609.1
443,AC093627.7
444,AC093627.8
445,AC093642.3
446,AC093642.4
447,AC093642.6
448,AC093822.1
449,AC093843.1
450,AC093850.2
451,AC093901.1
452,AC096559.2
453,AC096570.1
454,AC096574.5
455,AC096579.13
456,AC096649.3
457,AC096669.1
458,AC096732.2
459,AC096772.6
460,AC097381.1
461,AC097495.3
462,AC097532.2
463,AC098828.2
464,AC098973.1
465,AC098973.2
466,AC099344.2
467,AC099344.3
468,AC099552.2
469,AC099552.3
470,AC099552.4
471,AC102948.2
472,AC103564.7
473,AC104024.1
474,AC104024.2
475,AC104073.2
476,AC104088.1
477,AC104135.2
478,AC104389.2
479,AC104532.2
480,AC104534.3
481,AC104653.1
482,AC104695.4
483,AC104777.1
484,AC104777.3
485,AC104794.4
486,AC104809.3
487,AC105393.1
488,AC105393.2
489,AC106053.1
490,AC106706.1
491,AC106869.2
492,AC106874.1
493,AC106900.6
494,AC107057.1
495,AC107622.1
496,AC108004.2
497,AC108051.2
498,AC108051.3
499,AC108056.1
500,AC108463.1
501,AC108868.6
502,AC109826.1
503,AC110615.1
504,AC110769.3
505,AC112715.2
506,AC112721.1
507,AC113331.9
508,AC113608.1
509,AC114494.1
510,AC114752.1
511,AC114752.3
512,AC114763.1
513,AC114765.1
514,AC114765.2
515,AC114814.3
516,AC116035.1
517,AC116035.2
518,AC116609.1
519,AC118345.1
520,AC118653.2
521,AC122136.2
522,AC123023.1
523,AC124312.1
524,AC124861.1
525,AC124944.5
526,AC128709.3
527,AC129492.1
528,AC131056.5
529,AC131097.4
530,AC132807.1
531,AC133644.2
532,AC133680.1
533,AC138472.6
534,AC138647.1
535,AC139099.6
536,AC139712.4
537,AC140542.2
538,AC140725.4
539,AC140912.1
540,AC141928.1
541,AC142472.6
542,AC144450.2
543,AC144525.1
544,AC144652.1
545,AC144831.1
546,AC144831.3
547,AC147651.1
548,AC159540.1
549,AC195454.1
550,AC231657.1
551,AC234582.2
552,AC241377.2
